Title,Price,Benefits,Customizations,Overviews,Detail,Category,Product Rating,Company Name,Company Informations,Link,Store Link,Quantity Sold,Shippings,Skus
Competitive Price Wholesale Pet Treats Snacks Canned Dog Food,"['$0.59', '$0.54', '$0.45']","['Quick refunds on orders under US $1,000']","['Customized packaging(Min. order 10000 pieces)', 'Flavor(Min. order 5000 pieces)']","{'Application:': 'Dogs', 'Place of Origin:': 'Shandong, China', 'Brand Name:': 'Robust', 'Life stage:': 'Puppy & kitten, Adult, All', 'Model Number:': 'RT-375D', 'Product Name:': 'Canned dog food', 'Pet food:': 'Cats;dogs', 'Material:': 'Natural Ingredients', 'Feature:': 'Stocked, High nutrition pet canned food, Sustainable, Stocked', 'Flavors:': 'Chicken/Duck/Fish/Beef,etc;OEM', 'Shelf life:': '18 months', 'Package:': 'Canned or OEM', 'OEM:': 'Available', 'Delivery Time:': '5-15 Days,To be negotiated if big order', 'Capacity:': '375g per can', 'Type:': 'PET FOOD', 'Color:': 'OEM'}","• 100% Natural and human grade food 
• Healthy safe Cat treats reward treats. 
• Made with all-natural, simple ingredients
• No added antibiotics or hormones 
• High in protein, great protein sources
• Full of essential minerals and healthy fats",Other Pet Food,None,"Weifang Robust Pet Products Co., Ltd.",None,"https://www.alibaba.com/product-detail/Competitive-Price-Wholesale-Pet-Treats-Snacks_1600479769299.html?spm=a27aq.industry_category_productlist.fp_behavior_product.0.hr9s3l0tom
",None,None,['Ocean freight'],"['OEM', 'Turkey']"
oem nutritious delicious chicken breast jerky dog treats snacks dry Pet food,"['$0.80', '$0.76']","['Quick refunds on orders under US $1,000']","['Customized logo(Min. order 3000 bags)', 'Customized packaging(Min. order 3000 bags)']","{'Application:': 'Small Animals', 'Place of Origin:': 'Shandong, China', 'Life stage:': 'Puppy & kitten, Adult', 'Product Name:': 'Pet snack chicken slices', 'Material:': 'Chicken', 'Keyword:': 'Pet Snack', 'Package:': 'Bag', 'Weight:': '100g', 'Type:': 'PET FOOD', 'Color:': 'as picture'}","1、Why choose us?
We have a variety of pet snack products and pet toys. Have adequate inventory ready to ship now.We have the professional design team，We have the most advanced production equipment and testing technology. 
2、When  shall I get your quotation?
 Response will be made within 24 hours after receiving your inquiry. You can also call us or email us to get quicker response. 
3、 Which kind of product can I get here? 
The full range of dog food and cat food, including dry pet food, wet pet food, canned food, and pet treats such as broth pouch, sausage, freeze-dry food, drying meat food, and relative  pet supplies, pet toys, etc.
4、 Can you OEM and ODM? 
 If the purchase quantity is large,  can OEM/ODM. We have advanced production equipment to ensure the quality of your order. We  also have our own branded products to meet your favorite order needs.
5、What's the lead time? 
It depends on the order quantity. We could ship within 5-15 days for small quantity, and around 30 days for large quantity. 

6、Can I get a discount?
The larger the quantity, the cheaper the price.
7、 How do you deliver goods? 
Sea, Air, Ground and Express 
8、How do you ensure my right if I’m going to place the order?
Customers are recommended to place the order online through Alibaba to ensure your side of right as much as possible. Free to ask  any questions to our sales.",Treats,None,Qingdao Joshua Pet Food Co. LTD,None,"https://www.alibaba.com/product-detail/oem-nutritious-delicious-chicken-breast-jerky_1600524551185.html?spm=a27aq.industry_category_productlist.fp_behavior_product.0.gazvbynyk
",None,None,['Express\nOcean freight\nLand freight\nAir freight'],"['100g', 'Dried chicken breast']"
"Ready to Ship
In Stock
Fast Dispatch
Pure meat pet food LOW MOQ Air dried pet treats rabbit ears with hair and without hair dog treatPopular","['$8.00', '$7.25', '$80.00', '$215.04', '']","['Quick refunds on orders under US $1,000']","['Customized logo(Min. order 100 kilograms)', 'Customized packaging(Min. order 100 kilograms)']","{'Application:': 'Dogs', 'Place of Origin:': 'Hebei, China', 'Material:': 'pure rabbit ears', 'Flavor:': 'Natural Flavor', 'Use:': 'Dog Feed Cat Feed', 'Advantage:': 'Natural Functional Pet Food', 'MOQ:': '10kgs', 'SHELF LIFE:': '18 Months', 'Weight:': '10kgs', 'Brand:': 'Customised', 'Room Space Selection:': 'Support', 'Type:': 'PET FOOD', 'Feature:': 'Stocked', 'Color:': 'natural'}","WHY CHOOSE FREEZE DRYING PRODUCT
USE : FOR PET    MATERIALS : 100% CHICKEN ",Dry Food,None,"Hebei Yunshao Trading Co., Ltd.",None,"https://www.alibaba.com/product-detail/Pure-meat-pet-food-LOW-MOQ_1600584840471.html?spm=a27aq.industry_category_productlist.fp_behavior_product.0.mlaw1llpdg
",None,14 buyers,None,None
Omega-3 6 9 Chews Allergy Immune Supplement for Dogs - 90 soft chews,None,"['Quick refunds on orders under US $1,000']","['Customized logo(Min. order 500 units)', 'Customized packaging(Min. order 500 units)']","{'Health Care Type:': 'NUTRITIONAL SUPPLEMENTS', 'Place of Origin:': 'Guangdong, China', 'Brand Name:': 'hemprino', 'Product Name:': 'Omega-3 Chews Allergy Immune Supplement for Dogs -180 soft chews', 'Specification:': '90ct/bottle', 'Main ingredients:': 'brewer yeast, apple cider vinegar, Licorice', 'Flavor:': 'Beef', 'Function:': 'Immune booster', 'shape:': 'Cube, heart and ball', 'MOQ:': '500 bottles', 'Usage:': 'Dog supplement', 'Shelf life:': '3 Years', 'OEM/ODM:': 'Availalble', 'Type:': 'Pet Health Care & Supplements', 'Season:': 'Everyday'}",None,Pet Health Care & Supplements,None,"Shenzhen Hemp Bio-Tech Co., Ltd.",None,"https://www.alibaba.com/product-detail/Omega-3-6-9-Chews-Allergy_1600262024817.html?spm=a27aq.industry_category_productlist.fp_behavior_product.0.snn889e3a
",None,None,['Express\nOcean freight\nLand freight\nAir freight'],['Brown']
Canned Premium Pet Food with Beef Flavor Salmon for Pet Adult Cat 7.5% Protein - 400 Gr (12 PCS),"['$7.55', '$7.50', '$7.00']",None,"['Customized logo(Min. order 1000 pieces)', 'Customized packaging(Min. order 1000 pieces)']","{'Application:': 'Cats', 'Place of Origin:': 'Gaziantep, Turkey', 'Brand Name:': 'Carnaval', 'Life stage:': 'Adult', 'Model Number:': '50504 Re', 'Flavor:': 'Salmon', 'Pet Supplies:': 'Wet food', 'Package:': 'can', 'MOQ:': '90', 'Material:': 'Fish Meal', 'Product Name:': 'Cat Canned Food', 'Keyword:': 'Cat Food Products', 'Certificate:': 'ISO9001', 'SHELF LIFE:': '18 Months', 'Advantage:': 'High Protein Low Fat', 'Type:': 'PET FOOD', 'Feature:': 'Sustainable', 'Color:': 'Orange', 'Ingredient:': 'Check product details in the catalog.'}",None,Wet Food,None,KARNAVAL AMBALAJ VE GIDA YEM SANAYI TICARET LIMITED SIRKETI,None,"https://www.alibaba.com/product-detail/Canned-Premium-Pet-Food-with-Beef_10000007637031.html?spm=a27aq.industry_category_productlist.fp_behavior_product.0.a5a2y6jgnb
",None,None,['Ocean freight\nLand freight\nAir freight'],"['M', 'Salmon']"
Best Quality Custom Made Wholesale Beef Pizzle Dog Bully Sticks Buy Cheap Wholesale Bully Sticks for Dogs Bulk Dried Natural Dog,"['$6.25', '$4.25', '$3.25', '$2.25']",None,"['Customized packaging(Min. order 10 kilograms)', 'Customized logo(Min. order 10 kilograms)']","{'Application:': 'Dogs', 'Place of Origin:': 'United States, USA', 'Brand Name:': 'AlFaraj Trading LLC', 'Main Ingredient:': 'Beef Breast', 'Unit Weight:': '0.5kg/pc', 'Breed Size:': 'Small Breeds, Giant Breeds', 'Life stage:': 'All', 'Special Diet:': 'Grain-Free', 'Model Number:': 'DBF-02', 'Shelf Life:': '1years', 'Health Feature:': 'Skin & Coat Health', 'Product name:': 'Dried Beef Pizzle', 'Material:': 'Raw Natural', 'Keyword:': 'Food Products', 'Usage:': 'Small Pet Food', 'Function:': 'Health Protection', 'Package:': 'OEM Package', 'Purity (%)::': '100', 'Delivery Time:': '7-15 Days', 'MOQ:': '50kgs'}","Q:How about your company’s annual production capacity?
A:Our Company’s annual production is about 8,000 tons.

Q: What’s your company ‘s product scope?
A: We have many kinds of products ,such as enameled aluminum wire, enameled cooper wire, paper covered magnet wire, fiber glass
covered magnet wire and other aluminum/cooper magnet wire products.

Q:What’s the temperature-resist grade of your enameled aluminum wire?
A: We produce the thermal class of enameled aluminum wire from 130 to 220 Centigrade. 

Q:What is specifications of enameled aluminum wire your company can produce?
A: flat enameled aluminum wire: a:0.8-8.00mm; b: 2.0-22mm 

Q:Can you offer Round Enameled wire with PEW, C200? 
A: Yes, for favorable offer, There is one problem need confirm again, PEW is for Class 155 or 180, not Class 200. 

Q: Could you provide the free samples? 
A: Yes, We could provide the free sampels within 0.5kg. You only need undertake the express charnges. 

Q: What’s the price of your enameled aluminum wire?
A: Please sent an email to our office@cnlpzz.com or call whatsapp/mobile 0086-18103865695, our salesman will reply you as soon as
possible.",Other Pet Food,None,AlFaraj Trading LLC,None,"https://www.alibaba.com/product-detail/Best-Quality-Custom-Made-Wholesale-Beef_10000010744313.html?spm=a27aq.industry_category_productlist.fp_behavior_product.0.0bor3o2yj7
",None,None,['Express\nOcean freight\nLand freight\nAir freight'],['Beef']
Hot Selling Natural Buffalo Horn Dog Chew For Pet Food,"['$1.45', '$1.25', '$1.00']",None,"['Customized packaging(Min. order 25 pieces)', 'Graphic customization(Min. order 25 pieces)']","{'Application:': 'Dogs', 'Place of Origin:': 'Uttar Pradesh, India', 'Brand Name:': 'God Grace Overseas', 'Unit Weight:': '1.0kg/pc', 'Life stage:': 'All', 'Model Number:': 'GGO 65dog chew', 'Material:': '100% Natural', 'Product Name:': 'Dry Dog Food', 'Commercial Buyer:': 'Fast Food and Takeaway Food Services', 'Type:': 'PET FOOD', 'Feature:': 'Sustainable', 'Color:': 'black', 'Ingredient:': '01'}","Packaging

We use below materials for packaging to deliver items safely.
Brown Paper
Poly Bags & Bubbles

Brown Box (Inner & Master Box)
and as buyer requirement

Shipping:

 

1. We offer air & sea shipping according to the requirement of the client ( Buyer ).

Port to Port
Door to Door (Home Delivery)
FOB Shipping
2. We recommend door to door air shipping & it takes 3-7 days from our factory to your appointed
place",Treats,None,GOD GRACE OVERSEAS,None,"https://www.alibaba.com/product-detail/Hot-Selling-Natural-Buffalo-Horn-Dog_11000003158571.html?spm=a27aq.industry_category_productlist.fp_behavior_product.0.8tdlazplia
",None,None,['Express\nOcean freight\nLand freight\nAir freight'],"['S', 'Beef']"
Wholesale Royal canin whole sale 2kg/10kg/20kg package dry dog food & Cat food.,None,None,None,"{'Application:': 'Dogs', 'Place of Origin:': 'Caithness, United Kingdom', 'Brand Name:': 'roya canin dog food cat food', 'Unit Weight:': '10kg/pc', 'Life stage:': 'Puppy & kitten, Adult, All', 'Model Number:': 'roya canin dog food cat food', 'Product Name:': 'Dry Dog Food', 'Feature:': 'High Nutrition, Sustainable, Stocked', 'Material:': '100% Natural', 'Flavor:': 'Beef Flavor', 'Color:': 'Customizable, Red, White, black, Blue, Grey, Brown, Purple, green, Orange, Plum, Beige, Yellow, Pink, Ivory, Gold', 'Pet Supplies:': 'Natural Pet Supplements', 'Use:': 'Dog Feed Cat Feed', 'Package:': 'Plastic Bags', 'MOQ:': '100kgs', 'OEM & ODM:': 'Welcomed Accepted', 'Type:': 'PET FOOD', 'Ingredient:': 'roya canin dog food cat food'}",None,Dry Food,None,ASDC SERVICES LTD,None,"https://www.alibaba.com/product-detail/Wholesale-Royal-canin-whole-sale-2kg_11000005519246.html?spm=a27aq.industry_category_productlist.fp_behavior_product.0.okh8hanf9
",None,None,['Express\nOcean freight\nLand freight\nAir freight'],"['XS', 'Turkey']"
Certifications,None,"['Quick refunds on orders under US $1,000']","['Customized logo(Min. order 45 pieces)', 'Customized packaging(Min. order 500 pieces)']","{'Application:': 'Cats, Dogs, For pet, Pet Supplement,For Cat Dog,Multivitamin Soft Chews', 'Place of Origin:': 'Shanghai, China', 'Brand Name:': 'OEM&ODM', 'Model Number:': '/', 'Health Feature:': 'VITAMINS & MINERALS', 'Main Ingredient:': 'Glucosamine HCL', 'Unit Weight:': '2-3g', 'Flavor:': 'Turkey, Salmon, Tuna, Seafood & Fish, Fruits & Vegetables, Chicken, Beef', 'Life stage:': 'All', 'Special Diet:': 'high nutrition multi vitamin', 'Shelf Life:': '24 months', 'Sample:': 'Free Sample', 'OEM/ODM:': 'Support', 'MOQ:': '45pcs', 'Function:': 'Make pet bones stronger', 'Delivery time:': '15 Working Day', 'Keyword:': 'Multivitamin Supplement', 'Shape:': 'Bones, round, heart-shaped', 'Ingredients:': 'Multivitamin,Coenzyme Q10,Glucosamine HCL,MSM', 'Advantage:': 'Free sample,Low MOQ,Leading R&D Technology'}","Daily Nutrients
Daily Nutrients Supplement your dog's diet with key essential vitamins and minerals and give them the nutritional boost they need.Multifunctional soft chew help supports healthy joints, heart, brain, immunity, digestion, skin, coat, eyes and more!
Have A Better Health Guarantee For Your Pet
Combine a well-rounded blend of the most essential vitamins and
supplements for dogs' overall daily health including glucosamine, probiotics, vitamins and more.These soft chew treats are appealing and appetizing to dogs, making it easy for you to improve your dog's overall health.
Professional scientific formula customization
Professional scientific formula customization
Support scientific combination of main ingredients according to customer needs, ODM high-quality formula, and make delicious and high-quality CHEWABLE products.Come and ask for details and events!",Pet Health Care & Supplements,None,"Shanghai Pet Science & Technology Co., Ltd.","{'Store rating': '4.9/5', 'On-time delivery rate': '100.0%', 'Response time': '≤1h', 'Transactions': '$130,000+', 'Floorspace': '6619m²', 'Staff': '58', 'Services': 'Minor customization', 'Quality control': 'Design-based customization', 'Certifications': 'Raw-material traceability identification'}","https://www.alibaba.com/product-detail/Wholesale-10-In-1-Pets-Supplements_1600508204600.html?spm=a27aq.industry_category_productlist.fp_behavior_product.0.zclx10nzs5h
",https://shpetangel.en.alibaba.com/company_profile.html,2 buyers,['Express\nOcean freight\nLand freight\nAir freight'],['240g Round-shaped 2g*120 soft chews']
Certifications,"['$0.34', '$0.30', '$204.00', '$19,226.00', '']",['3-day coupon giveaway: up to US $80 off'],"['Customized logo(Min. order 500 pieces)', 'Customized packaging(Min. order 500 pieces)']","{'Application:': 'Cat and Dogs', 'Place of Origin:': 'Shandong, China', 'Brand Name:': 'Black Nose/Pink Nose or OEM', 'OEM:': 'Accept', 'Material:': 'Meat', 'Sample:': 'Free', 'Type:': 'PET FOOD', 'Commercial Buyer:': 'Caterers & Canteens, Restaurants, Fast Food and Takeaway Food Services, Food & Beverage Stores, Specialty Stores, Food & Beverage Manufacture, TV Shopping, Department Stores, Bubble tea,Juice & Smoothie Bars, Super Markets, Hotels, Convenience Stores, Spice and Extract Manufacturing, Drug Stores, Cafes and Coffee Shops, Discount Stores, E-commerce Stores, Gifts Stores, Beer,Wine,Liquor Stores, Souvenir Stores', 'Season:': 'Everyday', 'Room Space Selection:': 'Support', 'Room Space:': 'Countertop, Closet, Dining Room, Indoor and Outdoor, Office, Desktop', 'Occasion Selection:': 'Support', 'Occasion:': 'Back to School, Giveaways, Business Gifts, Camping, Travel, Retirement, Party, Graduation', 'Holiday Selection:': 'Support', 'Holiday:': ""Valentine's Day, Mother's Day, Chinese New Year, Christmas, New Year's, Easter Day, Thanksgiving, Halloween"", 'Feature:': 'Sustainable, Stocked'}","Qingdao Eastan Biotechnology Co., Ltd. is located in Qingdao, which is a beautiful west coastal city. We advocate scientific, nutritional and natural consumption ideas and stick to the tenet of ""producing the products which is benefit to our human being, our beloved pets and the environment"". We are devoted to researching and developing high-end pet snacks. We are enjoying the life of our own. Let our pets become healthy and happy. ",Wet Food,None,"Qingdao Eastan Bio-Technology Co., Ltd.","{'Store rating': '5.0/5', 'On-time delivery rate': '100.0%', 'Response time': '≤12h', 'Transactions': '$70,000+', 'Floorspace': '163647m²', 'Staff': '162', 'Services': 'Full customization', 'Quality control': 'Finished product inspection', 'Certifications': 'QA/QC inspectors (18)'}","https://www.alibaba.com/product-detail/New-Arrival-Cat-and-Dogs-High_1600375313788.html?spm=a27aq.industry_category_productlist.fp_behavior_product.0.emss2vcvah
",https://qingdaoeastan.en.alibaba.com/company_profile.html,None,None,None
Certifications,['$0.02'],['US $10 off with a new supplier'],"['Customized logo(Min. order 10000 pieces)', 'Customized packaging(Min. order 10000 pieces)']","{'Application:': 'Cats', 'Place of Origin:': 'Shandong, China', 'Product Name:': 'Lickable Wet Cat Treats', 'Suitable age:': 'All Life Stage', 'Type:': 'Pet Food, PET FOOD', 'Shelf life:': '12 months', 'Taste:': 'Chicken/tuna/salmon', 'Commercial Buyer:': 'Convenience Stores', 'Season:': 'Everyday', 'Feature:': 'Stocked'}","Q: Why choose us?
We have the professional design team，We have the most advanced production equipment and testing technology.
Q: When shall I get your quotation?
Response will be made within 12 hours after receiving your inquiry. You can also call us or email us to get quicker response.
Q: Can I have my logo on the products?
Sure, it can be done based on your design.
Q: What's the lead time?
It depends on the order quantity. We could ship within 7-15 days for small quantity, and around 30 days for large quantity. 
Q: Can I get a discount?
the larger the quantity, the cheaper the price.
Q: How do you deliver goods?
Sea, Air, Ground and Express
Q: How do you ensure my right if I’m going to place the order?
Customers are recommended to place the order online through Alibaba to ensure your side of right as much as possible. Besides, you are welcomed to visit our factory any time and feel free to ask any questions to our sales.",Other Pet Food,5.0,"Shandong Zhongkekangyuan Biotechnology Co., Ltd.","{'Store rating': '4.9/5', 'On-time delivery rate': '100.0%', 'Response time': '≤2h', 'Transactions': '$10,000+', 'Floorspace': '12102m²', 'Staff': '37', 'Services': 'Minor customization', 'Quality control': 'Design-based customization', 'Certifications': 'Finished product inspection'}","https://www.alibaba.com/product-detail/Professional-Sale-Bulk-Wet-Cat-Salmon_1600478898823.html?spm=a27aq.industry_category_productlist.fp_behavior_product.0.3iqnlszzgi
",https://sdzhongke.en.alibaba.com/company_profile.html,1 buyer,['Ocean freight\nLand freight\nAir freight'],['15g']
Factory Wholesale Sticks Premium Natural Single Ingredient Long Lasting High Protein Dog Treats Chicken Sticks,"['$1.35', '$1.31', '$1.27']","['Quick refunds on orders under US $1,000']","['Customized logo(Min. order 15000 bags)', 'Customized packaging(Min. order 15000 bags)']","{'Application:': 'Dogs', 'Place of Origin:': 'Hebei, China', 'Brand Name:': 'WangDaDa', 'Model Number:': 'chicken sticks', 'MOQ:': '40bags/one carton', 'SHELF LIFE:': '18 months', 'Flavor:': 'Chicken', 'Weight:': '400g/bag', 'Certificate:': 'ISO9001 ISO22000 HALAL', 'Function:': 'Balance nutrition', 'Usage:': 'dog snacks', 'Type:': 'PET FOOD', 'Feature:': 'Sustainable', 'Color:': 'Red', 'Ingredient:': 'No'}","1. Can I get some samples?
Sure, it is our honor to offer some free samples in advance.

2. How does your factory control related quality?
We always give priority to quality in the process of production. Production is undertaken according to EU Standards for pet food.

3. May I go to visit your factory?
Of course. You are welcome to visit us.

4. What about the lead time for mass production?
Honestly, it depends on the order quantity and the season you place the order. Generally, production lead time is within
10-15days.

5. What's the information should I let you know if I want to get a full quotation?
Package size, product requirements if any, quantity, destination port.",Treats,None,"Xingtai Nuode Pet Products Co., Ltd.",None,"https://www.alibaba.com/product-detail/Factory-Wholesale-Sticks-Premium-Natural-Single_1600600969252.html?spm=a27aq.industry_category_productlist.fp_behavior_product.0.2dz5aw1r14
",None,None,['Express\nOcean freight\nLand freight\nAir freight'],"['M', 'Chicken']"
Bulk Pet Food Tuna And Chicken Flavor Dry Cat 1.5kg 7kg cat food dry,"['$17.05', '$16.62', '$16.21']","['Quick refunds on orders under US $1,000']",['Customized packaging(Min. order 12000 bags)'],"{'Application:': 'Cats', 'Place of Origin:': 'Taiwan, China', 'Brand Name:': 'Hoyden', 'Model Number:': '401056', 'Product Name:': 'Hoyden dry cat food', 'Suitable:': 'Picky cat', 'Flavor:': 'Tuna + Chicken Flavor', 'Function:': 'Nutritional Diet', 'Package Weight:': '7kg/bag', 'Type Of Packaging:': 'Aluminum plastic fresh-keeping package', 'Shelf Life:': '18 months', 'Crude Protein:': '26% min.', 'Service:': 'Wholesale,OEM', 'Certificate:': 'HACCP/ISO22000', 'Type:': 'PET FOOD', 'Feature:': 'Sustainable', 'Color:': 'cat food dry'}","  FEATURE OF PRODUCT：
Hoyden Adult Nutritional Diet is designed according to AAFCO (Association of American Feed Control Officials)
‧ Variety of fresh deep-sea fish, keep fit and strong.
‧ Omega-3 & omega-6, keep skin healthy and hair beautiful.
‧ Rich dietary fiber, helps to maintain the function of the digestive tract and remove fouling and hair.
‧ Vitamin and mineral, nourish the body and add active energy.
‧ Taurine and lutein protect cat’s eyes.
‧ Cranberry extract, to help urinary tract health.
‧ Yucca extract reduce fecal and urine smell.",Dry Food,None,"GLOBAL-PETS PRODUCTS CO., LTD.",None,"https://www.alibaba.com/product-detail/Bulk-Pet-Food-Tuna-And-Chicken_10000004100561.html?spm=a27aq.industry_category_productlist.fp_behavior_product.0.woa5daqjhs
",None,None,['Express\nOcean freight\nAir freight'],None
cat eye health supplements,"['$8.00', '$5.00', '$3.00']","['Quick refunds on orders under US $1,000']",None,"{'Health Care Type:': 'Dental, Ear & Eye Care', 'Application:': 'Small Animals, Eye Supplement', 'Place of Origin:': 'Taiwan', 'Brand Name:': 'SunnyPaws', 'Main function:': 'eye care', 'Ingredients:': 'Natural Essential Ingredients', 'Certificate:': 'GMP ISO HACCP', 'Apply to:': 'Pet Animals', 'OEM/ODM:': 'Availalble', 'Sample:': 'Avaliable', 'Usage:': 'Apply Day', 'Function:': 'Dietary Supplement', 'Form:': 'Powder', 'Type:': 'Pet Health Care & Supplements', 'Commercial Buyer:': 'Caterers & Canteens, Restaurants, Fast Food and Takeaway Food Services, Food & Beverage Stores, Specialty Stores, Food & Beverage Manufacture, TV Shopping, Department Stores, Bubble tea,Juice & Smoothie Bars, Super Markets, Hotels, Convenience Stores, Spice and Extract Manufacturing, Drug Stores, Cafes and Coffee Shops, Discount Stores, E-commerce Stores, Gifts Stores, Beer,Wine,Liquor Stores, Souvenir Stores', 'Season:': 'Everyday', 'Room Space Selection:': 'Support', 'Occasion Selection:': 'Support', 'Holiday Selection:': 'Support', 'Feature:': 'Sustainable, Stocked'}",None,Pet Health Care & Supplements,None,"FU-E LIFESCIENCES CO., LTD.",None,"https://www.alibaba.com/product-detail/cat-eye-health-supplements_1600454848615.html?spm=a27aq.industry_category_productlist.fp_behavior_product.0.oo9x8277c
",None,1 buyer,['Express\nOcean freight\nAir freight'],['Red']
2022 New Arrival High Nutrition 80g Chicken Carrot Wet Cat Food Fresh Delicious Tuna Whitebait Pet Cat Wet Food Treats SnacksPopular,"['$0.25', '$0.23', '$0.20']","['Quick refunds on orders under US $1,000']","['Customized logo(Min. order 5000 bags)', 'Customized packaging(Min. order 5000 bags)']","{'Application:': 'Cats', 'Place of Origin:': 'Shandong, China', 'Brand Name:': 'liebao', 'Main Ingredient:': 'Chicken', 'Breed Size:': 'Giant Breeds, Large Breeds, Medium Breeds', 'Life stage:': 'Adult', 'Special Diet:': 'Grain-Free, High-Protein, Sensitive Digestion, Limited Ingredient Diet(LID)', 'Model Number:': '008', 'Shelf Life:': '1years, 12 Months', 'Health Feature:': 'Digestive health, VITAMINS & MINERALS', 'Product name:': 'Pet Wet Food Treats Snacks', 'Material:': 'Tuna, small whitebait, chicken, carrots, crab meat, etc', 'Flavor:': 'Chicken and carrots/tuna and whitebait/chicken and crab meat/tuna', 'Weight:': '80g/bag', 'Advantage:': 'High Protein Low Fat', 'MOQ:': '1200 bags', 'Delivery time:': '3-7 days', 'Package:': 'Carton', 'Keyword:': 'Cat Food Products'}","Luoyang Paladin Industry Co., Ltd. is a company integrating independent product design and sales,We have our own factory. We are specialize in R & D all kinds of pet products with BSCI and SEDEX certificates. Our main products are included pet bed, pet clothes, pet toys, cat tree,pet collar and leashes, pet brushes, pet feeders, cat toys, small animal accessories, bird and fish accessories. Log on to Alibaba.com in 2021,till now, our products have been sold to North American, European, Asia and Australia .Moreover, we have enjoyed a good reputation in these marketing. Paladin pet is your best chosen.",Wet Food,5.0,"Luoyang Paladin Industry Co., Ltd.",None,"https://www.alibaba.com/product-detail/2022-New-Arrival-High-Nutrition-80g_1600479481267.html?spm=a27aq.industry_category_productlist.fp_behavior_product.0.rdroxx4os6
",None,4 buyers,['Express\nOcean freight\nLand freight\nAir freight'],"['80g/pc', 'Tuna']"
"Happy Jungle Medium parrot food for moulting birds, 500 g. balanced mix of seeds, fruits","['$0.91', '$0.88']",None,None,"{'Application:': 'Birds', 'Place of Origin:': 'Moscow Oblast, Russian Federation', 'Brand Name:': 'Happy Jungle', 'Model Number:': '2309909609', 'Weight:': '500g', 'Shelf Life:': '24 Months', 'Type:': 'PET FOOD', 'Feature:': 'Sustainable, Stocked'}","Happy Jungle Medium parrot food for moulting birds, 500 g.

""Happy Jungle special medium parrot food for moulting birds. 
A balanced mix of seeds, fruits and oyster shells provides the bird with all the necessary nutrients. 
Feeding instructions: The daily feed norm is 20-30 g. Pour the feed into the easy accessible feeder. Make sure that your pet always has access to fresh water. Ingredients: red millet, oat groats, yellow millet, canary grass seed, white sorghum, sunflower seeds, flax seeds, safflower seeds, buckwheat grain, shell grit for birds, hemp seed, hulled sesame, dried apricots, dried pineapple. Guaranteed analysis: 100 g of product contains not less than: crude protein – 10 g, crude fiber – 15 g, crude fat – 4,0 g, crude ash – 6,0 g, calcium – 0,3 g, phosphorus – 0,2 g. Store conditions: Store at temperature from 4°C to 35°C and relative humidity NMT 75%. Production date: see on the package. Shelf life: 24 months from the production date.""",Other Pet Food,None,EKOPROM SPC JSC,None,"https://www.alibaba.com/product-detail/Happy-Jungle-Medium-parrot-food-for_1600087867586.html?spm=a27aq.industry_category_productlist.fp_behavior_product.0.cdjp4eujot
",None,None,None,['White']
Certifications,"['$0.78', '$0.85', '$0.83']",['3-day coupon giveaway: up to US $80 off'],"['Customized logo(Min. order 10000 bags)', 'Customized packaging(Min. order 10000 bags)']","{'Application:': 'Dogs', 'Place of Origin:': 'Shandong, China', 'Brand Name:': ""O'DOG / OEM"", 'Life stage:': 'All', 'Product Name:': 'Chicken Duck Dog Treat', 'Shelf Life:': '18 Months', 'Material:': 'Chicken Duck', 'Grade:': 'Premium', 'Keyword:': 'dog treats', 'Package:': 'OEM Package', 'MOQ:': '100 Kg', 'Certificates:': 'BRC, BSCI, ISO9001, HACCP', 'Flavor:': 'Natural Flavor', 'Packaging:': 'OEM Printed Polybags', 'Type:': 'PET FOOD', 'Feature:': 'Sustainable, Stocked', 'Color:': 'Orange'}","Regarding packaging, we can customize packaging and logos for you according to your ideas and requirements. We have customized packaging for many friends from all over the world. For preferential prices, please feel free to contact us.",Treats,5.0,"Qingdao Myjian Foodstuff Co., Ltd.","{'Store rating': '5.0/5', 'On-time delivery rate': '100.0%', 'Response time': '≤1h', 'Transactions': '$70,000+', 'Floorspace': '8320m²', 'Staff': '139', 'Services': 'Design-based customization', 'Quality control': 'Sample-based customization', 'Certifications': 'Finished product inspection'}","https://www.alibaba.com/product-detail/Natural-Private-Label-Dog-Food-Pet_1600466161989.html?spm=a27aq.industry_category_productlist.fp_behavior_product.0.5fehq83fbs
",https://myjian.en.alibaba.com/company_profile.html,10 buyers,['Express\nOcean freight\nLand freight\nAir freight'],['Chicken']
